toll-like receptor signaling pathway	1.4152953138748842e-15	20230172,20230201,20232130,20233676,20234568,20235412,20237097,20237663,20238925,20252309,20252320,20253296	GO:0002224
pattern recognition receptor signaling pathway	1.9741286491926753e-15	20230172,20230201,20232130,20233676,20234568,20235412,20237097,20237663,20238925,20252309,20252320,20253296	GO:0002221
immune response-regulating signaling pathway	1.9741286491926753e-15	20230172,20230201,20232130,20233676,20234568,20235412,20237097,20237663,20238925,20252309,20252320,20253296	GO:0002764
regulation of immune system process	8.097264651913255e-13	20230172,20230201,20232130,20233676,20234568,20235412,20237097,20237663,20238925,20252309,20252320,20253296	GO:0002682
regulation of immune response	8.097264651913255e-13	20230172,20230201,20232130,20233676,20234568,20235412,20237097,20237663,20238925,20252309,20252320,20253296	GO:0050776
immune response	2.0276367638469408e-11	20230172,20230201,20232130,20233676,20234568,20235412,20237097,20237663,20238925,20252309,20252320,20253296	GO:0006955
immune system process	3.607849579546583e-11	20230172,20230201,20232130,20233676,20234568,20235412,20237097,20237663,20238925,20252309,20252320,20253296	GO:0002376
regulation of response to stimulus	3.953925967529189e-8	20230172,20230201,20232130,20233676,20234568,20235412,20237097,20237663,20238925,20252309,20252320,20253296	GO:0048583
cellular response to stimulus	7.439492902487904e-7	20229820,20230172,20230201,20230581,20231412,20232130,20233111,20233128,20233676,20234568,20235412,20235606,20235751,20235752,20237097,20237663,20238073,20238925,20242050,20246484,20249246,20252309,20252320,20252616,20253296	GO:0051716
response to stimulus	0.000007587112693585917	20229820,20230172,20230201,20230581,20231412,20232130,20233111,20233128,20233676,20234568,20235412,20235606,20235751,20235752,20237097,20237663,20238073,20238925,20242050,20246484,20249246,20252309,20252320,20252616,20253296	GO:0050896
signal transduction	0.000011953761108865806	20229820,20230172,20230201,20230581,20231412,20232130,20233111,20233128,20233676,20234568,20235412,20235606,20237097,20237663,20238073,20238925,20242050,20249246,20252309,20252320,20252616,20253296	GO:0007165
signaling	0.000019978949844559405	20229820,20230172,20230201,20230581,20231412,20232130,20233111,20233128,20233676,20234568,20235412,20235606,20237097,20237663,20238073,20238925,20242050,20249246,20252309,20252320,20252616,20253296	GO:0023052
cell communication	0.00002274556115359917	20229820,20230172,20230201,20230581,20231412,20232130,20233111,20233128,20233676,20234568,20235412,20235606,20237097,20237663,20238073,20238925,20242050,20249246,20252309,20252320,20252616,20253296	GO:0007154
biological regulation	0.000031944769929757276	20229502,20229820,20230172,20230201,20230581,20231412,20232130,20232798,20233111,20233128,20233676,20234568,20235412,20235606,20235751,20235752,20237097,20237663,20238073,20238925,20240407,20242050,20244242,20247320,20249246,20252309,20252320,20252616,20252871,20253296	GO:0065007
regulation of cellular process	0.00007621092997596518	20229502,20229820,20230172,20230201,20230581,20231412,20232130,20232798,20233111,20233128,20233676,20234568,20235412,20235606,20237097,20237663,20238073,20238925,20240407,20242050,20244242,20247320,20249246,20252309,20252320,20252616,20252871,20253296	GO:0050794
regulation of biological process	0.0002211222797762676	20229502,20229820,20230172,20230201,20230581,20231412,20232130,20232798,20233111,20233128,20233676,20234568,20235412,20235606,20237097,20237663,20238073,20238925,20240407,20242050,20244242,20247320,20249246,20252309,20252320,20252616,20252871,20253296	GO:0050789
