gene_id	cell_group	Gene.Ontology.IDs
LOC105329534	10	GO:0000209
LOC105329534	10	GO:0004842
LOC105329534	10	GO:0005737
LOC105329534	10	GO:0008270
LOC105329534	10	GO:0017022
LOC105329534	10	GO:0043161
LOC105329534	10	GO:0043523
LOC105329534	10	GO:0061630
LOC105329534	10	GO:1990830
LOC105337374	11
LOC105331844	6	GO:0000166
LOC105331844	6	GO:0003677
LOC105331844	6	GO:0003887
LOC105331844	6	GO:0006260
LOC105331844	6	GO:0006281
LOC105331844	6	GO:0008270
LOC105331844	6	GO:0008622
LOC105331844	6	GO:0051539
LOC105317489	9	GO:0005887
LOC105317489	9	GO:0007049
LOC105317489	9	GO:0051301
LOC105325141	9	GO:0000977
LOC105325141	9	GO:0001139
LOC105325141	9	GO:0005634
LOC105325141	9	GO:0006351
LOC105325141	9	GO:0006362
LOC105325141	9	GO:0006368
LOC105325141	9	GO:0031440
LOC105325141	9	GO:0031564
LOC105325141	9	GO:0046872
LOC105334990	11	NA
LOC105334984	11
LOC105327784	9	GO:0004930
LOC105327784	9	GO:0005886
LOC105327784	9	GO:0016021
LOC105322769	2	GO:0005886
LOC105322769	2	GO:0005918
LOC105322769	2	GO:0007156
LOC105322769	2	GO:0007411
LOC105322769	2	GO:0008366
LOC105322769	2	GO:0019991
LOC105322769	2	GO:0021682
LOC105322769	2	GO:0030424
LOC105322769	2	GO:0031225
LOC105322769	2	GO:0045197
LOC105322769	2	GO:0060857
LOC105322769	2	GO:0061343
LOC105322769	2	GO:0070593
LOC105322769	2	GO:0098632
LOC105325951	6	GO:0001568
LOC105325951	6	GO:0001649
LOC105325951	6	GO:0001707
LOC105325951	6	GO:0001893
LOC105325951	6	GO:0001935
LOC105325951	6	GO:0001938
LOC105325951	6	GO:0001946
LOC105325951	6	GO:0001974
LOC105325951	6	GO:0002063
LOC105325951	6	GO:0003085
LOC105325951	6	GO:0003148
LOC105325951	6	GO:0003151
LOC105325951	6	GO:0003176
LOC105325951	6	GO:0003177
LOC105325951	6	GO:0003183
LOC105325951	6	GO:0003186
LOC105325951	6	GO:0003197
LOC105325951	6	GO:0003252
LOC105325951	6	GO:0004674
LOC105325951	6	GO:0005024
LOC105325951	6	GO:0005524
LOC105325951	6	GO:0005654
LOC105325951	6	GO:0005737
LOC105325951	6	GO:0005886
LOC105325951	6	GO:0005887
LOC105325951	6	GO:0005901
LOC105325951	6	GO:0005905
LOC105325951	6	GO:0005912
LOC105325951	6	GO:0006468
LOC105325951	6	GO:0007178
LOC105325951	6	GO:0009267
LOC105325951	6	GO:0009925
LOC105325951	6	GO:0009952
LOC105325951	6	GO:0009986
LOC105325951	6	GO:0010595
LOC105325951	6	GO:0010634
LOC105325951	6	GO:0010862
LOC105325951	6	GO:0014069
LOC105325951	6	GO:0014916
LOC105325951	6	GO:0016324
LOC105325951	6	GO:0019211
LOC105325951	6	GO:0019838
LOC105325951	6	GO:0030166
LOC105325951	6	GO:0030308
LOC105325951	6	GO:0030424
LOC105325951	6	GO:0030425
LOC105325951	6	GO:0030501
LOC105325951	6	GO:0030509
LOC105325951	6	GO:0030513
LOC105325951	6	GO:0030546
LOC105325951	6	GO:0036122
LOC105325951	6	GO:0042127
LOC105325951	6	GO:0043025
LOC105325951	6	GO:0043235
LOC105325951	6	GO:0043539
LOC105325951	6	GO:0044297
LOC105325951	6	GO:0045296
LOC105325951	6	GO:0045669
LOC105325951	6	GO:0045778
LOC105325951	6	GO:0045906
LOC105325951	6	GO:0045944
LOC105325951	6	GO:0046872
LOC105325951	6	GO:0048286
LOC105325951	6	GO:0048662
LOC105325951	6	GO:0048842
LOC105325951	6	GO:0051148
LOC105325951	6	GO:0060173
LOC105325951	6	GO:0060350
LOC105325951	6	GO:0060391
LOC105325951	6	GO:0060412
LOC105325951	6	GO:0060413
LOC105325951	6	GO:0060836
LOC105325951	6	GO:0060840
LOC105325951	6	GO:0060841
LOC105325951	6	GO:0061036
LOC105325951	6	GO:0061298
LOC105325951	6	GO:0061626
LOC105325951	6	GO:0071363
LOC105325951	6	GO:0071773
LOC105325951	6	GO:0072577
LOC105325951	6	GO:0098821
LOC105325951	6	GO:1902731
LOC105325951	6	GO:1905314
LOC105325951	6	GO:1990782
LOC105325951	6	GO:2000279
LOC105325948	3	GO:0005261
LOC105325948	3	GO:0005886
LOC105325948	3	GO:0005887
LOC105325948	3	GO:0015280
LOC105325948	3	GO:0035725
LOC105325948	3	GO:0046872
LOC105325948	3	GO:0047631
LOC105325948	3	GO:0070588
LOC105325948	3	GO:0098655
LOC105325948	3	GO:0099604
LOC105332280	7	GO:0005886
LOC105332280	7	GO:0009897
LOC105332280	7	GO:0030431
LOC105332280	7	GO:0031225
LOC105332280	7	GO:0032222
LOC105332280	7	GO:0034235
LOC105332280	7	GO:0045187
LOC105332280	7	GO:0045837
LOC105332280	7	GO:0045938
LOC105332280	7	GO:0048511
LOC105332280	7	GO:1903049
LOC105332280	7	GO:1903818
LOC105318289	11	GO:0000922
LOC105318289	11	GO:0005737
LOC105318289	11	GO:0005813
LOC105318289	11	GO:0005819
LOC105318289	11	GO:0005874
LOC105318289	11	GO:0032467
LOC105318289	11	GO:0034451
LOC105318289	11	GO:0051781
LOC105346986	5	GO:0003779
LOC105346986	5	GO:0005861
LOC105346986	5	GO:0046872
LOC105347950	6	GO:0005524
LOC105347950	6	GO:0006412
LOC105347950	6	GO:0050566
LOC105347950	6	GO:0050567
LOC105339970	10	GO:0005886
LOC105339970	10	GO:0016021
LOC105339970	10	GO:0045263
LOC105339970	10	GO:0046933
LOC105339977	10	GO:0001889
LOC105339977	10	GO:0004714
LOC105339977	10	GO:0005008
LOC105339977	10	GO:0005524
LOC105339977	10	GO:0005887
LOC105339977	10	GO:0006909
LOC105339977	10	GO:0007169
LOC105339977	10	GO:0007399
LOC105339977	10	GO:0009925
LOC105339977	10	GO:0016477
LOC105339977	10	GO:0017154
