duckID	evalue	LOC
PGEN_.00g000010	1.83E-05	LOC117689530
PGEN_.00g000020	2.68E-20	LOC105343682
PGEN_.00g000030	1.23E-21	LOC105331660
PGEN_.00g000040	1.44E-26	LOC105346887
PGEN_.00g000050	8.86E-52	LOC117689866
PGEN_.00g000060	8.69E-15	LOC105341336
PGEN_.00g000070	0	LOC117688427
PGEN_.00g000080	2.99E-15	LOC117685924
PGEN_.00g000090	3.81E-46	LOC117680756
PGEN_.00g000100	1.3	LOC105333468
PGEN_.00g000110	3.69E-04	LOC105338280
PGEN_.00g000120	1.61E-58	LOC105326379
PGEN_.00g000130	0.2	LOC117689988
PGEN_.00g000140	0	LOC117686951
PGEN_.00g000150	1.29E-38	LOC117685908
PGEN_.00g000160	6.83E-26	LOC117687131
PGEN_.00g000170	8.97E-22	LOC117688448
PGEN_.00g000180	1.80E-22	LOC117690839
PGEN_.00g000190	7.01E-34	LOC105338516
PGEN_.00g000200	2.95E-27	LOC105326956
PGEN_.00g000210	6.81E-14	LOC105323598
PGEN_.00g000220	1.91E-04	LOC117686363
PGEN_.00g000230	1.95E-17	LOC105333389
PGEN_.00g000240	0	LOC105329666
PGEN_.00g000250	1.59E-26	LOC105326956
PGEN_.00g000260	3.88E-33	LOC109619571
PGEN_.00g000270	5.05E-45	LOC105331660
PGEN_.00g000280	4.53E-14	LOC105326217
PGEN_.00g000300	3.74E-20	LOC105320498
PGEN_.00g000310	4.48E-15	LOC117689770
PGEN_.00g000320	2.15E-09	LOC117684452
PGEN_.00g000330	0.71	LOC105334780
PGEN_.00g000340	8.31E-06	LOC117690411
PGEN_.00g000350	0.13	LOC117682873
PGEN_.00g000360	2.2	LOC105339681
PGEN_.00g000370	1.6	LOC117681255
PGEN_.00g000380	4.46E-14	LOC105347664
PGEN_.00g000390	4.37E-05	LOC105327228
PGEN_.00g000400	7.19E-32	LOC109620803
PGEN_.00g000410	7.06E-32	LOC109620803
PGEN_.00g000420	1.11E-05	LOC105327228
PGEN_.00g000430	3.15E-14	LOC109617314
PGEN_.00g000440	6.05E-11	LOC105335165
PGEN_.00g000450	2.21E-20	LOC105334750
PGEN_.00g000460	7.01E-14	LOC105341717
PGEN_.00g000480	1.21E-04	LOC105324448
PGEN_.00g000490	2.13E-19	LOC105318391
PGEN_.00g000500	1.2	LOC105329927
PGEN_.00g000510	2.05E-15	LOC105343559
PGEN_.00g000520	1.33E-36	LOC105325411
PGEN_.00g000530	2.95E-21	LOC105319797
PGEN_.00g000540	2.35E-09	LOC105329754
PGEN_.00g000550	2.5	LOC105347805
PGEN_.00g000560	4.25E-11	LOC117690404
PGEN_.00g000570	0.019	LOC105321636
PGEN_.00g000580	0.077	LOC105343589
PGEN_.00g000590	2.59E-07	LOC105325124
PGEN_.00g000600	8.34E-20	LOC105340946
PGEN_.00g000610	0.27	LOC105339313
PGEN_.00g000620	4.6	LOC105348068
PGEN_.00g000630	0.11	LOC105345685
PGEN_.00g000640	2.2	LOC117692012
PGEN_.00g000650	0.009	LOC117684421
PGEN_.00g000660	9.47E-16	LOC105326706
PGEN_.00g000670	1.58E-48	LOC117684617
PGEN_.00g000680	3.20E-16	LOC105329447
PGEN_.00g000690	0.016	LOC105344626
PGEN_.00g000700	1.72E-04	LOC117687319
PGEN_.00g000710	3.83E-09	LOC105323065
PGEN_.00g000720	3.22E-50	LOC117689107
PGEN_.00g000730	5.82E-34	LOC105340296
PGEN_.00g000740	8.62E-41	LOC105340296
PGEN_.00g000750	2.39E-16	LOC105347464
PGEN_.00g000760	4.8	LOC105333736
